trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.5, 'e': 0.536268225207185}",25,16,4.833577092473705,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",20,5,-25.297129055347465,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,11,4.897939360806751,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,8,25.743211979746288,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,3,-90.5154536412429,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-56.6360109982709,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,5,2.91180173055045,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,5,-24.356871596576063,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,5,-107.66683280383627,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,7,6.297979682299342,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,0,-13.229662302154066,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,2,-64.68009228222472,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,0,-61.41990543043522,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",25,8,-14.57956416538274,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",30,0,-5.2272613106751,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,3,-11.284709217346443,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",35,11,-58.01635195660943,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,0,-53.39103052835982,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",30,2,4.634943286721448,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,0,-43.73706068588839,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,0,-53.35035402725436,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",30,13,-15.436200872236478,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",30,19,18.90497460129908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",30,22,-28.11393893815945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,0,-138.91261921021427,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,16,-7.586144119075094,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",25,0,-56.15272447546087,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",25,20,10.547187230432353,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",30,19,18.714260315421637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",30,0,-28.760468354954213,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",30,0,-37.29002663412093,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",30,13,6.076530362384094,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3887839180742268}",30,3,-1.1312669612495692,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
